time_from_ns,time_to_ns,x,y,z,qw,qx,qy,qz,type,level
1681748623262745142,1681748609016092539,-20.7331,-2.34343,20.369,0.653696, 0.0271033,0.74881,0.105972,0,0
1681748623262745142,1681748609016092539,-20.7331,-2.34343,20.369,0.653696, 0.0271033,0.74881,0.105972,0,0
1681748623496164799,1681748608315577507,-19.1182,-9.03525,22.9781,0.576047, -0.290182,0.761345,0.0657055,0,0
1681748623496164799,1681748608315577507,-19.1182,-9.03525,22.9781,0.576047, -0.290182,0.761345,0.0657055,0,0
1681748623729580164,1681748608315577507,-15.7016,-15.1113,20.6537,0.621245, -0.53028,0.575155,0.0453248,0,0
1681748623729580164,1681748608315577507,-15.7016,-15.1113,20.6537,0.621245, -0.53028,0.575155,0.0453248,0,0
1681748623962992668,1681748608315577507,14.2461,-6.04634,25.7937,0.541088, -0.0491712,-0.826714,-0.146116,0,0
1681748623962992668,1681748608315577507,14.2461,-6.04634,25.7937,0.541088, -0.0491712,-0.826714,-0.146116,0,0
1681748624196420193,1681748608315577507,-20.2711,-3.49137,21.5268,0.643863, 0.0513569,0.747177,0.156618,0,0
1681748624196420193,1681748608315577507,-20.2711,-3.49137,21.5268,0.643863, 0.0513569,0.747177,0.156618,0,0
1681748624429843187,1681748608549081087,-9.66502,6.8917,32.1832,0.40539, 0.804638,0.420881,0.105242,0,0
1681748624429843187,1681748608549081087,-9.66502,6.8917,32.1832,0.40539, 0.804638,0.420881,0.105242,0,0
1681748624663261890,1681748608315577507,-17.9235,5.55137,16.7528,0.745891, 0.3084,0.581336,0.102881,0,0
1681748624663261890,1681748608315577507,-17.9235,5.55137,16.7528,0.745891, 0.3084,0.581336,0.102881,0,0
1681748624896676064,1681748608315577507,-11.9248,0.409086,2.59883,0.942418, 0.00906628,0.326814,-0.0704147,0,0
1681748624896676064,1681748608315577507,-11.9248,0.409086,2.59883,0.942418, 0.00906628,0.326814,-0.0704147,0,0
1681748626530668020,1681748611117723942,-17.5951,4.50793,13.5281,0.795992, 0.234352,0.556252,0.0453885,0,0
1681748626530668020,1681748611117723942,-17.5951,4.50793,13.5281,0.795992, 0.234352,0.556252,0.0453885,0,0
1681748628864924908,1681748611117723942,6.77732,-0.0239822,33.5386,-0.341033, -0.385719,0.854734,0.0659321,0,0
1681748628864924908,1681748611117723942,6.77732,-0.0239822,33.5386,-0.341033, -0.385719,0.854734,0.0659321,0,0
1681748629331794500,1681748608549081087,12.3971,-6.55536,28.1483,-0.496276, 0.0973767,0.854333,0.119763,0,0
1681748629331794500,1681748608549081087,12.3971,-6.55536,28.1483,-0.496276, 0.0973767,0.854333,0.119763,0,0
1681748629798656464,1681748612985746861,-13.4368,4.23413,7.8466,0.906227, 0.183924,0.375641,0.0617872,0,0
1681748629798656464,1681748612985746861,-13.4368,4.23413,7.8466,0.906227, 0.183924,0.375641,0.0617872,0,0
1681748634000267744,1681748618589825869,-10.6718,-7.38218,22.9286,0.479807, -0.250298,0.829293,0.139316,0,0
1681748634000267744,1681748618589825869,-10.6718,-7.38218,22.9286,0.479807, -0.250298,0.829293,0.139316,0,0
1681748636334608078,1681748618356312990,6.82,1.92275,16.962,0.789691, 0.38557,-0.466291,-0.101469,0,0
1681748636334608078,1681748618356312990,6.82,1.92275,16.962,0.789691, 0.38557,-0.466291,-0.101469,0,0
1681748703118191481,1681748644984325647,0.486495,-0.848096,2.89309,-0.471422, 0.787595,-0.0231801,-0.396128,0,0
1681748703118191481,1681748644984325647,0.486495,-0.848096,2.89309,-0.471422, 0.787595,-0.0231801,-0.396128,0,0
1681748796519269228,1681748763361900568,3.08575,-2.05882,9.3836,0.538293, -0.110263,-0.823592,-0.140635,0,0
1681748796519269228,1681748763361900568,3.08575,-2.05882,9.3836,0.538293, -0.110263,-0.823592,-0.140635,0,0
