name,mean[s],min[s],max[s],std-dev[s]
backend,0.0252685,0.000318844,0.0779466,0.0171998
backend/add_places,0.0017879,0.000104686,0.00559044,0.00118778
backend/add_places_between,0.000343164,2.0019e-05,0.00140704,0.000236985
backend/add_places_nodes,0.000457591,3.1895e-05,0.00173282,0.000309526
backend/building_detection,4.04818e-06,5.73e-07,2.1327e-05,2.47155e-06
backend/copy_mesh_delta,0.00374599,0.000105415,0.00835221,0.00128471
backend/mesh_deformation,0.0556435,0.0127546,0.602066,0.0267064
backend/optimization,0.0179985,0.00167882,0.103307,0.0125913
backend/places_mst,0.000786299,3.5841e-05,0.00233325,0.000533249
backend/process_factors,0.000112339,6.118e-06,0.00142539,7.9135e-05
backend/read_graph,0.0179399,4.7e-07,0.0532282,0.0133968
backend/room_detection,0.00367207,3.3457e-05,0.0143372,0.00296482
backend/sinks,0.0252874,0.000325013,0.0779586,0.0172068
backend/spin,0.146453,0.000986882,0.811925,0.084697
backend/update,0.022155,0.00040462,0.0603822,0.0142608
backend/update_2d_places,0.00452167,2.0962e-05,0.0163769,0.0039429
backend/update_layers,0.0259919,0.000241365,0.0799262,0.0196525
backend/update_objects,0.000759559,4.053e-05,0.00896264,0.000522704
backend/update_places,0.00137261,3.782e-06,0.00518909,0.00123202
frontend,5.19204e-06,1.237e-06,0.00111073,4.41985e-05
frontend/detect_gvd,0.0177136,0.00162154,0.048877,0.00785278
frontend/dgraph_compresssion,0.0326881,0.00215351,0.0722759,0.0124766
frontend/downsample_tsdf,0.00146781,0.000512724,0.0115932,0.00111793
frontend/launch_callbacks,0.114818,0.00937824,0.212163,0.0376591
frontend/launch_postmesh_callbacks,0.0596475,0.00451391,0.111597,0.0208227
frontend/merge_graph,0.0207433,6.4e-05,0.0543363,0.0150786
frontend/mesh_archive,0.000425634,1.143e-06,0.0125459,0.001059
frontend/mesh_compression,0.0516764,0.00446008,0.106232,0.0165953
frontend/mesh_update,0.00260532,9.8868e-05,0.00844179,0.00123735
frontend/objects_detection,0.00805091,0.00102744,0.0216354,0.00367317
frontend/objects_graph_update,0.00119162,4.545e-05,0.00398806,0.000618584
frontend/place_agent_edges,0.000133545,1.014e-06,0.00138294,7.41582e-05
frontend/place_mesh_mapping,0.0142369,0.00092086,0.0324988,0.00544696
frontend/place_object_edges,3.32088e-05,2.238e-06,0.000142494,1.65616e-05
frontend/places_2d,0.0592775,0.00440417,0.111476,0.0207167
frontend/sinks,0.00187957,0.000110017,0.0112465,0.00119085
frontend/spin,0.158423,0.0108093,0.292256,0.0552898
frontend/update_gvd_places,0.00193202,5.2823e-05,0.00714396,0.00129409
frontend/update_posegraph,0.000209876,8.526e-06,0.00402587,0.000200973
places/graph_extractor,0.00468976,2.2793e-05,0.015819,0.00243537
places/gvd,0.0158767,0.000814903,0.045732,0.0074263
places/handle_gvd_queue,0.000185877,1.047e-06,0.000958424,0.000114918
places/mesh,0.00360023,0.00164606,0.0144185,0.00187051
places/open_queue,0.00946351,0.000656678,0.027827,0.00466591
places/overall_update,0.0155607,0.000717867,0.0453074,0.00733865
places/propagate_tsdf,0.000177624,6.8226e-05,0.000697334,7.05298e-05
places/prune_gvd_queue,0.000325571,1.107e-06,0.00395472,0.000423992
places/spin,0.0224815,0.0146784,0.03934,0.00440815
places/tsdf,0.00291278,0.00167345,0.0113783,0.000926744
places/update_gvd_graph,0.00355614,4.501e-06,0.012692,0.00189566
topology/topology_visualizer,0.000342422,1.4794e-05,0.00583158,0.000360228
